,Gene Name1,Gene Name2,Gene Name3,Gene Name4,Gene Name5,fisher_log2fc,fisher_pval_adj
chr10_59863522_59864302,Micu1,Dnajb12,Ddit4,Anapc16,Ascc1,-0.068493105,1
chr10_59897356_59899237,Dnajb12,Micu1,Ddit4,Anapc16,Ascc1,-0.437277317,0.61614204
chr10_59941098_59942838,Ddit4,Dnajb12,Anapc16,Ascc1,Ascc1,0.202315465,0.72143589
chr10_59952827_59958506,Ddit4,Anapc16,Ascc1,Ascc1,Dnajb12,-0.252462178,0.70604289
chr10_60103420_60108168,Spock2,Ascc1,Mir6906,Chst3,Anapc16,0.154870942,0.78915247
chr10_60133878_60135970,Spock2,Mir6906,Ascc1,Chst3,Anapc16,-0.006318355,1
chr10_60276412_60277691,Psap,Psap,Cdh23,Chst3,Vsir,-0.062872812,0.97863543
chr10_60632622_60635747,Cdh23,Slc29a3,Unc5b,Vsir,Mir6408,-0.5370754,0.62830837
chr10_61148034_61149564,Sgpl1,Tbata,Tbata,Adamts14,Pcbd1,0.046838414,1
chr10_61443103_61445373,Eif4ebp2,Nodal,Lrrc20,Pald1,Prf1,-0.638327003,0.46389321
chr10_61451764_61454160,Eif4ebp2,Lrrc20,Nodal,Pald1,Npffr1,-0.269546956,0.85351673
chr10_61559474_61564766,Lrrc20,Npffr1,Ppa1,Eif4ebp2,Sar1a,-0.141000941,0.94600923
chr10_61568780_61570989,Lrrc20,Npffr1,Ppa1,Sar1a,Eif4ebp2,-0.311960936,0.86048568
chr10_61590064_61591912,Npffr1,Lrrc20,Ppa1,Sar1a,Tysnd1,0.364474535,0.67787119
chr10_61596091_61600089,Npffr1,Lrrc20,Ppa1,Sar1a,Tysnd1,1.006156683,0.12820265
chr10_61646200_61648403,Ppa1,Npffr1,Sar1a,Tysnd1,Tysnd1,-1.122591019,0.2546149
chr10_61679372_61680289,Sar1a,Ppa1,Tysnd1,Tysnd1,Aifm2,-0.176605448,0.87881291
chr10_61781220_61785259,H2afy2,Mir5108,Aifm2,Aifm2,Col13a1,0.096867129,0.95902159
chr10_62100211_62100683,Neurog3,Tspan15,Mir7662,Col13a1,Tacr2,-0.297459394,0.89790607
chr10_62238603_62239546,Tspan15,Tacr2,Hk1,Mir7662,Hk1os,-0.12205942,0.94262297
chr10_62265639_62267897,Tacr2,Hk1,Tspan15,Mir7662,Hk1os,-0.181932196,0.9074752
chr10_62334826_62339378,Hk1,Hk1os,Hkdc1,Tacr2,Supv3l1,-0.274135143,0.67787119
chr10_62577233_62581547,Kif1bp,Ddx50,Srgn,Stox1,Vps26a,-0.185928747,0.79934548
chr10_62601244_62603647,Ddx21,Ddx50,Kif1bp,Stox1,Mir7215,-0.256179035,0.85485174
chr10_62680170_62682481,Stox1,Mir7215,Ddx50,Ccar1,Ddx21,-0.41073963,0.60789597
chr10_62726501_62727259,Stox1,Ccar1,Snord98,Mir7215,Ddx50,-0.143834293,0.96615818
chr10_62863125_62867103,Tet1,Slc25a16,Ccar1,Dna2,Snord98,0.3673549,0.27407295
chr10_62979233_62980222,Rufy2,Dna2,Slc25a16,Hnrnph3,Pbld2,-0.133186787,0.89437788
chr10_63017508_63027156,Rufy2,Pbld1,Dna2,Slc25a16,Atoh7,0.012781206,1
chr10_63088718_63090464,Atoh7,Pbld1,Mypn,Pbld2,Hnrnph3,-0.308015555,0.68276939
chr10_63097969_63102264,Atoh7,Mypn,Pbld1,Pbld2,Hnrnph3,-0.089860991,0.95078871
chr10_63157689_63158979,Mypn,Atoh7,Pbld1,Herc4,Pbld2,-0.114739969,0.97303554
chr10_63176156_63178191,Mypn,Herc4,Atoh7,Pbld1,Pbld2,-0.6978302,0.4108196
chr10_63241442_63243737,Herc4,Mypn,Sirt1,Dnajc12,Atoh7,0.079206593,0.97483815
chr10_63380706_63384833,Dnajc12,Dnajc12,Sirt1,Ctnna3,Herc4,0.022124456,1
chr10_63458525_63460766,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,0.392625988,0.61239473
chr10_63976694_63980628,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,-0.13736926,0.89370495
chr10_63999329_64003755,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,-0.634447694,0.38175095
chr10_64022323_64024524,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,0.115052544,0.94819295
chr10_64048051_64054425,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,-0.18257919,0.8478205
chr10_64074761_64076888,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,0.332016736,0.68276939
chr10_64082133_64091252,Ctnna3,Dnajc12,Sirt1,Herc4,Mypn,0.179966927,0.43594799
chr10_64641485_64642082,Ctnna3,Lrrtm3,,,,-0.213796988,0.95030471
chr10_66852077_66855612,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,0.188671693,0.90169143
chr10_66900013_66901550,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.217910811,0.85154656
chr10_66908821_66913241,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.394544899,0.43292514
chr10_66959490_66960396,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.190800741,0.91919281
chr10_66976129_66977909,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.497292608,0.62923601
chr10_67001426_67008176,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.368699253,0.33951379
chr10_67045162_67049671,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.120841198,0.93726991
chr10_67051939_67061310,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,0.144062579,0.80498229
chr10_67075297_67079191,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.341852278,0.61614204
chr10_67093762_67098460,Reep3,Jmjd1c,Jmjd1c,Nrbf2,Egr2,-0.317153573,0.44446442
chr10_67315103_67315549,Nrbf2,Jmjd1c,Reep3,Egr2,Egr2,-0.770333469,0.47904307
chr10_67542745_67547045,Ado,Egr2,Nrbf2,Jmjd1c,Zfp365,0.10798917,0.94191806
chr10_67703314_67708870,Ado,Egr2,Zfp365,Rtkn2,Arid5b,0.174872518,0.86025427
chr10_67910209_67911592,Zfp365,Rtkn2,Arid5b,Ado,Egr2,-0.274395138,0.79256643
chr10_67939671_67940586,Zfp365,Rtkn2,Arid5b,Ado,Egr2,-0.006318355,1
chr10_68058252_68064938,Rtkn2,Arid5b,Zfp365,Ado,Egr2,-0.073251761,0.8408168
chr10_68163280_68169992,Arid5b,Rtkn2,Zfp365,Tmem26,Ado,-0.146214366,0.53812252
chr10_68178446_68184900,Arid5b,Rtkn2,Zfp365,Tmem26,Ado,-0.198288977,0.7097228
chr10_68191347_68193705,Arid5b,Rtkn2,Zfp365,Tmem26,Ado,0.25012359,0.7588005
chr10_68266945_68268970,Arid5b,Rtkn2,Zfp365,Tmem26,Ado,-0.037545837,1
chr10_68273754_68283545,Arid5b,Rtkn2,Zfp365,Tmem26,Ado,-0.055999614,0.7478646
chr10_68318258_68319664,Arid5b,Rtkn2,Tmem26,Zfp365,Ado,-0.086789265,0.91033939
chr10_68353407_68357933,Arid5b,Rtkn2,Tmem26,Zfp365,Ado,-0.209668308,0.68973363
chr10_68668152_68671833,Tmem26,Arid5b,Rhobtb1,Rhobtb1,Rhobtb1,-0.116613619,0.88437088
chr10_68907417_68910108,Tmem26,Rhobtb1,Rhobtb1,Rhobtb1,Cdk1,-0.05237617,0.98079105
chr10_69155387_69157388,Rhobtb1,Rhobtb1,Rhobtb1,Cdk1,Tmem26,0.110935658,0.89790607
chr10_69210963_69214852,Rhobtb1,Cdk1,Ank3,Tmem26,Ank3,-0.055269442,0.98404614
chr10_69333555_69335393,Cdk1,Rhobtb1,Ank3,Tmem26,Ank3,-0.131810546,0.82579624
chr10_69463088_69467132,Ank3,Cdk1,Rhobtb1,Ank3,Ccdc6,-0.087321497,0.90104407
chr10_69528295_69542865,Ank3,Cdk1,Rhobtb1,Ank3,Ccdc6,0.242372692,0.00165115
chr10_69543441_69548040,Ank3,Cdk1,Rhobtb1,Ank3,Ccdc6,0.369466633,0.47982572
chr10_69549396_69561348,Ank3,Cdk1,Rhobtb1,Ank3,Ccdc6,-0.159286991,0.68344888
chr10_69566741_69581274,Ank3,Cdk1,Rhobtb1,Ank3,Ccdc6,0.078381963,0.81712381
chr10_69600232_69602055,Ank3,Cdk1,Rhobtb1,Ank3,Ccdc6,-0.089537509,0.96318692
chr10_69630445_69634107,Ank3,Cdk1,Ank3,Rhobtb1,Ccdc6,-0.218822718,0.63808604
chr10_69653425_69658676,Ank3,Ank3,Cdk1,Rhobtb1,Ccdc6,-0.12133199,0.85692193
chr10_69687292_69694114,Ank3,Ank3,Cdk1,Rhobtb1,Ccdc6,-0.440615565,0.42456863
chr10_69705824_69712420,Ank3,Ank3,Cdk1,Ccdc6,Rhobtb1,-0.061881069,0.94819295
chr10_69735256_69739681,Ank3,Ank3,Ccdc6,Cdk1,Rhobtb1,-0.041466665,0.99752071
chr10_69784816_69789310,Ank3,Ank3,Ccdc6,Mrln,Cdk1,0.220519587,0.62040083
chr10_69963288_69965205,Ank3,Ccdc6,Mrln,Slc16a9,Fam13c,-0.034469865,1
chr10_70194113_70196146,Ccdc6,Mrln,Slc16a9,Ank3,Fam13c,0.602040231,0.35622165
chr10_70295672_70296982,Slc16a9,Mrln,Ccdc6,Fam13c,Fam13c,0.420365572,0.67787119
chr10_70367516_70374674,Fam13c,Fam13c,Slc16a9,Mrln,Ccdc6,0.151858121,0.87881291
chr10_70453468_70456708,Fam13c,Phyhipl,Slc16a9,Mrln,Ccdc6,-0.042829927,1
chr10_70713133_70714829,Phyhipl,Phyhipl,Fam13c,Bicc1,Slc16a9,0.114013776,0.947228
chr10_70717881_70718947,Phyhipl,Phyhipl,Fam13c,Bicc1,Slc16a9,-0.394823462,0.77182923
chr10_70732774_70734303,Phyhipl,Phyhipl,Fam13c,Bicc1,Slc16a9,0.461296827,0.63530568
chr10_70951784_70953282,Bicc1,Tfam,Ube2d1,Phyhipl,Phyhipl,0.092518114,0.90169143
chr10_70992100_70996157,Bicc1,Tfam,Ube2d1,Cisd1,Ipmk,-0.498597085,0.20429339
chr10_71247270_71254434,Ube2d1,Tfam,Cisd1,Bicc1,Ipmk,-0.159044921,0.75194016
chr10_71277865_71284412,Ube2d1,Tfam,Cisd1,Ipmk,Bicc1,0.035852216,0.99127447
chr10_71343356_71344061,Cisd1,Ipmk,Ube2d1,Tfam,Bicc1,-0.795236647,0.30880213
chr10_71399618_71401608,Ipmk,Cisd1,Ube2d1,Tfam,Bicc1,0.019230489,1
chr10_72436001_72437127,Zwint,,,,,-0.5428105,0.61468412
chr10_72652632_72654815,Zwint,,,,,-0.068960004,0.90238679
chr10_73036211_73037812,Zwint,Zwint,Pcdh15,,,-0.465318829,0.58379323
chr10_73094748_73107637,Zwint,Zwint,Pcdh15,,,-0.256067306,0.40041395
chr10_73116842_73120570,Zwint,Zwint,Pcdh15,,,0.014034947,1
chr10_73133476_73137360,Zwint,Zwint,Pcdh15,,,0.311611146,0.48010291
chr10_73160794_73162586,Zwint,Zwint,Pcdh15,,,-0.824747264,0.31957904
chr10_73213978_73216543,Zwint,Zwint,Pcdh15,,,-0.367996275,0.63419294
chr10_73314515_73316509,Pcdh15,Zwint,Zwint,,,0.469157606,0.3274873
chr10_73383895_73385916,Pcdh15,Zwint,Zwint,,,-0.139304563,0.92666993
chr10_73404971_73410839,Pcdh15,Zwint,Zwint,,,-0.486461788,0.31789901
chr10_73415670_73417333,Pcdh15,Zwint,Zwint,,,-0.404467613,0.69063206
chr10_73466012_73469662,Pcdh15,Zwint,Zwint,,,-0.197563902,0.8142323
chr10_73620921_73626984,Pcdh15,Zwint,Zwint,,,-0.54315418,0.37106154
chr10_73819358_73824089,Pcdh15,,,,,0.13333635,0.89718306
chr10_74051587_74055704,Pcdh15,Rsph14,Gnaz,Rab36,,0.036544234,1
chr10_74129195_74132798,Pcdh15,Rsph14,Gnaz,Rab36,Bcr,-0.58970809,0.42456863
chr10_74363329_74367994,Pcdh15,Rsph14,Gnaz,Rab36,Bcr,-0.131504938,0.87381797
chr10_74382757_74385219,Pcdh15,Rsph14,Gnaz,Rab36,Bcr,0.463443667,0.62040083
chr10_75015937_75021627,Rsph14,Gnaz,Rab36,Bcr,Specc1l,0.035747867,1
chr10_75035256_75039185,Rab36,Rsph14,Rsph14,Gnaz,Bcr,-0.26941523,0.72143589
chr10_75053599_75057256,Rab36,Bcr,Rsph14,Rsph14,Gnaz,-0.352043092,0.65275415
chr10_75091952_75095562,Bcr,Rab36,Rsph14,Rsph14,Gnaz,0.549367785,0.60789597
chr10_75210365_75214616,Specc1l,Bcr,Adora2a,Adora2a,Adora2a,-0.004922621,1
chr10_75761808_75766251,Cabin1,Ddt,Gstt3,Gstt3,Gstt1,0.098022766,0.90100859
chr10_75836446_75838276,Gstt2,Gstt4,Mif,Gstt1,Gstt3,0.175748572,0.85485174
chr10_75848049_75854414,Mif,Gstt2,Gstt4,Derl3,Smarcb1,-0.195601687,0.79532269
chr10_75871927_75873509,Mif,Derl3,Smarcb1,Gstt2,Gstt4,0.045493055,0.98984019
chr10_75881655_75883780,Derl3,Smarcb1,Mif,Mmp11,Gstt2,0.604388773,0.39174247
chr10_75920297_75923484,Smarcb1,Chchd10,Derl3,Vpreb3,Mif,-0.078806095,0.89370495
chr10_75934717_75935986,Chchd10,Mmp11,Vpreb3,Smarcb1,Derl3,0.250184178,0.8832971
chr10_76030718_76032255,Zfp280b,Mir6409,Slc5a4b,Vpreb3,Chchd10,0.046838414,1
chr10_76253368_76256877,S100b,Dip2a,Prmt2,Mir678,Slc5a4a,-0.394297153,0.50698621
chr10_76342520_76346907,Dip2a,Pcnt,S100b,Prmt2,Ybey,0.250781268,0.59392192
chr10_76808801_76809504,Pcbp3,Col6a1,Col6a2,Col6a2,Ftcd,-0.418004394,0.79934548
chr10_76816134_76817264,Pcbp3,Col6a1,Col6a2,Col6a2,Slc19a1,-0.44558692,0.75768933
chr10_77287139_77292075,Adarb1,Pofut2,Col18a1,Col18a1,Fam207a,0.370244682,0.6312349
chr10_77433427_77435053,Adarb1,Fam207a,Itgb2,Pttg1ip,Pofut2,-0.414922625,0.53584423
chr10_77515898_77516432,Fam207a,Itgb2,Pttg1ip,Sumo3,Sumo3,0.191524506,0.8969939
chr10_77621279_77623628,Ube2g2,Sumo3,Mir1930,Pttg1ip,Itgb2,0.018377466,1
chr10_78009896_78010443,Pfkl,Aire,Dnmt3l,Dnmt3l,Dnmt3l,1.09136951,0.30107348
chr10_78169134_78170389,D10Jhu81e,Pwp2,Trappc10,Icosl,Agpat3,0.868104458,0.36816757
chr10_78185265_78187725,Trappc10,Pwp2,D10Jhu81e,Agpat3,Icosl,0.299236387,0.68853355
chr10_78349765_78354448,Agpat3,Mir7659,Rrp1,Mir6907,Cstb,0.50667417,0.39900489
chr10_78371580_78373797,Agpat3,Rrp1,Mir7659,Mir6907,Cstb,-0.102613814,0.9619718
chr10_78436168_78438446,Pdxk,Mir6410,Mir6908,Cstb,Rrp1,0.074867941,0.96948467
chr10_78463232_78466849,Pdxk,Mir6908,Mir6410,Cstb,Rrp1,-0.165520564,0.93495825
chr10_78569518_78575026,Ilvbl,Syde1,Olfr1357,Pdxk,Mir6908,0.150345549,0.91714391
chr10_78746549_78747622,Ccdc105,Casp14,Slc1a6,Olfr1356,Olfr1355,-0.15237695,0.95902159
chr10_78749410_78752367,Ccdc105,Slc1a6,Casp14,Olfr1356,Olfr1355,0.24695076,0.88564452
chr10_78778405_78787787,Slc1a6,Ccdc105,Olfr1356,Casp14,Olfr1355,0.166458562,0.76919769
chr10_79095913_79100601,Vmn2r80,Olfr57,Olfr1351,Olfr1352,Olfr1353,0.08837758,0.94455053
chr10_79594342_79598045,Theg,C2cd4c,Shc2,Mier2,Odf3l2,-0.404467613,0.69063206
chr10_79636965_79640941,Shc2,C2cd4c,C2cd4c,Madcam1,Tpgs1,-0.455623657,0.51481697
chr10_79679823_79681733,Cdc34,Tpgs1,Gzmm,Madcam1,Gzmm,1.153314829,0.01965994
chr10_79794058_79796982,Bc1,Prss57,Fstl3,Misp,Rnf126,-0.242744908,0.78935272
chr10_79846331_79848799,Bc1,Ptbp1,Plppr3,Mir6910,Misp,-0.403654963,0.58966088
chr10_79871998_79875449,Bc1,Prtn3,Ptbp1,Mir6910,Elane,0.216047466,0.78222536
chr10_79900986_79901708,Bc1,Cfd,R3hdm4,Elane,Kiss1r,-0.184124321,0.90100859
chr10_79984323_79986975,Bc1,Cnn2,Grin3b,Abca7,Abca7,0.133009851,0.89610075
chr10_80136502_80138498,Bc1,Atp5d,Atp5d,Stk11,Stk11,0.111773886,0.94455053
chr10_80156438_80167635,Bc1,Cirbp,Atp5d,Atp5d,Efna2,0.011527908,1
chr10_80173214_80174010,Bc1,Cirbp,Efna2,Midn,Atp5d,-0.186520383,0.77002326
chr10_80188823_80192233,Bc1,Cirbp,Midn,Mum1,Atp5d,-0.095687687,0.94644099
chr10_80207119_80209122,Bc1,Efna2,Mum1,Cirbp,Ndufs7,-0.239418104,0.82715607
chr10_80247293_80249019,Bc1,Ndufs7,Mum1,Gamt,Dazap1,-0.096232131,0.95376234
chr10_80399535_80401200,Mbd3,Uqcr11,Tcf3,Mex3d,Bc1,-0.288260251,0.80276616
chr10_80434103_80434937,Tcf3,Uqcr11,Mbd3,Mex3d,Onecut3,0.24907887,0.68747441
chr10_80560914_80567349,Rexo1,Abhd17a,Atp8b3,Adat3,Scamp4,0.094021291,0.77182923
chr10_80572818_80576338,Klf16,Abhd17a,Rexo1,Adat3,Scamp4,0.429427177,0.51481697
chr10_80618998_80622686,Csnk1g2,Scamp4,Csnk1g2,Mir6912,Adat3,-0.026191857,1
chr10_80657256_80659699,Btbd2,Mknk2,Csnk1g2,Mob3a,Scamp4,0.193870321,0.50881704
chr10_80900999_80901570,Lmnb2,Timm13,Tmprss9,Gadd45b,Sppl2b,-0.101198994,0.97448145
chr10_80938023_80939097,Gadd45b,Gng7,Lmnb2,Lmnb2,Timm13,0.362108231,0.68555916
chr10_80983812_80987834,Gng7,Diras1,Slc39a3,Gadd45b,Sgta,-0.366576672,0.52371201
chr10_80999988_81003074,Gng7,Diras1,Slc39a3,Sgta,Thop1,0.395445496,0.60376728
chr10_81024505_81028872,Diras1,Gng7,Sgta,Gng7,Thop1,-0.221290872,0.68708469
chr10_81105625_81106028,Map2k2,Mir5615-2,Mir5615-1,Creb3l3,Thop1,0.342584193,0.75194016
chr10_81129420_81130385,Map2k2,Zbtb7a,Pias4,Mir5615-2,Mir5615-1,0.196375653,0.83375613
chr10_81133195_81136942,Zbtb7a,Map2k2,Pias4,Mir5615-2,Mir5615-1,-0.137072206,0.80921774
chr10_81166700_81178302,Pias4,Snord37,Dapk3,Dapk3,Dapk3,-0.026754409,0.97303554
chr10_81230005_81230662,Atcay,Zfr2,Atcayos,Matk,Matk,0.364474535,0.67787119
chr10_81251435_81255010,Zfr2,Matk,Mrpl54,Apba3,Mir3057,-0.113322601,0.87316693
chr10_81394279_81395571,Smim24,Nfic,Dohh,Mir6913,Fzr1,0.619124949,0.47904307
chr10_81457099_81460053,Celf5,Ncln,Nfic,S1pr4,Mir1191b,-0.272311032,0.74642369
chr10_81483523_81485294,Celf5,Ncln,Celf5,Celf5,S1pr4,-0.301527083,0.57261783
chr10_81495285_81497421,Ncln,S1pr4,Gna15,Celf5,Celf5,0.038399104,0.99968758
chr10_81545445_81546353,Gna11,Aes,Gna15,Tle2,Tle6,0.059915591,0.97067185
chr10_81549934_81553982,Gna11,Aes,Tle2,Gna15,Tle6,-0.106545605,0.87120886
chr10_81569931_81571748,Tle2,Aes,Tle6,Tle6,Gna11,-0.506466985,0.57605725
chr10_81605340_81608555,BC025920,Tle6,Sirt6,Tle2,Tle2,0.392625988,0.61239473
chr10_81632952_81634343,Ankrd24,Sirt6,Sirt6,BC025920,Tle6,0.946207464,0.28152936
chr10_82622387_82624067,Tdg,Glt8d2,Hcfc2,Nfyb,Txnrd1,0.199108258,0.92278315
chr10_82629021_82629865,Tdg,Glt8d2,Hcfc2,Nfyb,Txnrd1,-0.563512981,0.68276939
chr10_82679552_82684269,Glt8d2,Hcfc2,Tdg,Nfyb,Txnrd1,-0.275793433,0.71925895
chr10_82686597_82690383,Glt8d2,Hcfc2,Tdg,Nfyb,Txnrd1,-0.029260568,1
chr10_82740342_82745045,Hcfc2,Nfyb,Glt8d2,Txnrd1,Tdg,0.322648585,0.53728904
chr10_82794480_82796764,Nfyb,Txnrd1,Hcfc2,Txnrd1,Txnrd1,0.146906719,0.96525507
chr10_82844046_82846118,Txnrd1,Txnrd1,Txnrd1,Eid3,Nfyb,-0.243628457,0.8594975
chr10_82857347_82861656,Txnrd1,Eid3,Nfyb,Hcfc2,Chst11,-0.135999143,0.90169143
chr10_82984242_82988173,Chst11,Txnrd1,Eid3,Nfyb,Hcfc2,0.25692302,0.77916564
chr10_83016956_83019279,Chst11,Txnrd1,Eid3,Slc41a2,Nfyb,0.628267646,0.457396
chr10_83132170_83139308,Chst11,Slc41a2,D10Wsu102e,Txnrd1,Eid3,0.287225813,0.65258089
chr10_83335188_83336858,Slc41a2,D10Wsu102e,Chst11,Aldh1l2,Washc4,0.30926469,0.51109779
chr10_83541446_83543712,Washc4,Aldh1l2,Appl2,D10Wsu102e,Slc41a2,0.072653234,0.90100859
chr10_84400114_84406065,Nuak1,Ckap4,Platr7,Tcp11l2,Polr3b,-0.090914287,0.97863543
chr10_84435353_84443317,Nuak1,Ckap4,Platr7,Tcp11l2,Polr3b,-0.179726258,0.48646985
chr10_84903102_84914938,Rfx4,Ric8b,Polr3b,Fhl4,Tmem263,0.239015892,0.40308963
chr10_85126086_85127720,Mterf2,Cry1,Tmem263,Fhl4,Ric8b,-0.211486161,0.88564452
chr10_85458057_85460300,Btbd11,Btbd11,Cry1,Mterf2,Tmem263,0.41230455,0.68276939
chr10_85624546_85626300,Btbd11,Pwp1,Prdm4,Ascl4,Rtcb,0.314384371,0.78314406
chr10_85926046_85929701,Ascl4,Rtcb,Prdm4,Prdm4,Bpifc,5.33E-05,1
chr10_86020966_86021619,Fbxo7,Fbxo7,Bpifc,Syn3,Rtcb,0.827277362,0.36816757
chr10_86278933_86280506,Syn3,Syn3,Timp3,Fbxo7,Fbxo7,-0.165453151,0.90466791
chr10_86301594_86305791,Syn3,Fbxo7,Fbxo7,Bpifc,Rtcb,0.648166895,0.34283139
chr10_86309435_86311273,Syn3,Fbxo7,Fbxo7,Bpifc,Rtcb,0.094502673,0.95774782
chr10_86424746_86426292,Syn3,Timp3,Hsp90b1,Ttc41,Ttc41,0.101682067,0.96854173
chr10_86492119_86494046,Syn3,Timp3,Hsp90b1,Ttc41,Ttc41,-0.212921649,0.86025427
chr10_86684602_86685399,Hsp90b1,Ttc41,Ttc41,Nt5dc3,Stab2,0.001617106,1
chr10_86775911_86778494,Ttc41,Nt5dc3,Ttc41,Ttc41,Stab2,0.565387666,0.16634205
chr10_87057655_87060059,Stab2,Nt5dc3,Ttc41,Ttc41,Ttc41,-0.336259604,0.71925895
chr10_87349824_87352104,Ascl1,Pah,Stab2,Igf1,Igf1,0.392625988,0.61239473
chr10_87484271_87496280,Ascl1,Pah,Igf1,Igf1,Igf1,0.267740965,0.41601683
chr10_87858683_87861899,Igf1,Tyms-ps,Pmch,Parpbp,Pah,0.406285197,0.33992314
chr10_88333172_88334485,Dram1,Gnptab,Washc3,Washc3,Sycp3,0.322979271,0.82113444
chr10_88376705_88380287,Gnptab,Dram1,Sycp3,Chpt1,Chpt1,-0.188132837,0.88437088
chr10_88402656_88406293,Gnptab,Dram1,Sycp3,Chpt1,Chpt1,0.371373326,0.72694036
chr10_88449200_88452942,Gnptab,Sycp3,Chpt1,Chpt1,Mybpc1,-0.247086525,0.81583981
chr10_88602023_88605663,Mybpc1,Spic,Chpt1,Arl1,Sycp3,-0.052187052,1
chr10_88620722_88625006,Mybpc1,Spic,Arl1,Chpt1,Utp20,-0.06220891,0.9638013
chr10_88726460_88731004,Arl1,Utp20,Spic,Mybpc1,Slc5a8,-0.20186463,0.84035644
chr10_89003872_89005274,Ano4,Slc5a8,Utp20,Arl1,Spic,-0.272846699,0.87098457
chr10_89254790_89258643,Ano4,Gas2l3,Nr1h4,Slc17a8,Slc5a8,0.238099873,0.70604289
chr10_89341918_89344454,Gas2l3,Ano4,Nr1h4,Slc17a8,Scyl2,-0.116132252,0.93799563
chr10_89510116_89510991,Nr1h4,Nr1h4,Slc17a8,Gas2l3,Scyl2,-0.6978302,0.4108196
chr10_89549678_89551784,Nr1h4,Slc17a8,Nr1h4,Scyl2,Gas2l3,-0.593367934,0.53584423
chr10_89744513_89746273,Uhrf1bp1l,Actr6,Scyl2,Slc17a8,Anks1b,0.05037944,1
chr10_89855045_89856789,Anks1b,Uhrf1bp1l,Actr6,Scyl2,Slc17a8,0.001617106,1
chr10_89870583_89875637,Anks1b,Uhrf1bp1l,Actr6,Scyl2,Slc17a8,0.155231908,0.73999935
chr10_89973859_89978124,Anks1b,Uhrf1bp1l,Actr6,Scyl2,Slc17a8,-0.274395138,0.79256643
chr10_90041052_90046097,Anks1b,Uhrf1bp1l,Actr6,Scyl2,Slc17a8,0.401241124,0.50698621
chr10_90080765_90083658,Anks1b,Uhrf1bp1l,Actr6,Scyl2,Slc17a8,-0.126241818,0.86387014
chr10_90269394_90272060,Anks1b,Anks1b,Anks1b,Uhrf1bp1l,Actr6,-0.257210732,0.72694036
chr10_90306029_90309798,Anks1b,Anks1b,Anks1b,Uhrf1bp1l,Anks1b,0.056229711,0.9745744
chr10_90344596_90347002,Anks1b,Anks1b,Anks1b,Anks1b,Anks1b,0.283432901,0.59004103
chr10_90430735_90432684,Anks1b,Anks1b,Anks1b,Anks1b,Anks1b,0.174514145,0.73802171
chr10_90492202_90494987,Anks1b,Anks1b,Anks1b,Anks1b,Anks1b,-0.064664789,0.94722845
chr10_90574579_90585793,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,-0.119857498,0.47904307
chr10_90594628_90599937,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,-0.008274984,1
chr10_90604295_90608372,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,-0.075611889,0.97032623
chr10_90614792_90616151,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,0.177785397,0.87381797
chr10_90624908_90628222,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,0.087515123,0.91620647
chr10_90679350_90686084,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,-0.304893762,0.44525976
chr10_90687383_90692337,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,0.171678469,0.60720925
chr10_90697868_90698822,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,-0.293511778,0.74984441
chr10_90703061_90707519,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,0.017963421,1
chr10_90721182_90725854,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,-0.03674132,0.93466433
chr10_90751094_90755656,Anks1b,Anks1b,Anks1b,Apaf1,Ikbip,0.069095373,0.96262614
chr10_90828037_90834123,Anks1b,Apaf1,Ikbip,Slc25a3,Tmpo,0.315750331,0.30900919
chr10_90840838_90847979,Anks1b,Apaf1,Ikbip,Slc25a3,Tmpo,0.504855812,0.00796842
chr10_90849529_90854108,Anks1b,Apaf1,Ikbip,Slc25a3,Tmpo,0.039307319,0.96550101
chr10_90920308_90924805,Anks1b,Apaf1,Ikbip,Slc25a3,Tmpo,0.250099599,0.64669195
chr10_90966215_90973323,Anks1b,Apaf1,Ikbip,Slc25a3,Tmpo,0.251057446,0.2546149
